No,fitness,backbone
0,0.000000248,from:0 to:1 operator:-1  from:0 to:5 operator:2  from:1 to:2 operator:-1  from:2 to:3 operator:-1  from:3 to:4 operator:-1  from:4 to:5 operator:-1  from:5 to:6 operator:-1  from:6 to:7 operator:-1  from:7 to:8 operator:-1  from:8 to:9 operator:-1  
1,0.00000006,from:0 to:1 operator:-1  from:0 to:5 operator:2  from:1 to:2 operator:-1  from:2 to:3 operator:-1  from:3 to:4 operator:-1  from:4 to:5 operator:-1  from:5 to:6 operator:2  from:6 to:7 operator:-1  from:7 to:8 operator:-1  from:8 to:9 operator:-1  
2,0.000000164,from:0 to:1 operator:-1  from:0 to:5 operator:2  from:1 to:2 operator:-1  from:2 to:3 operator:-1  from:2 to:4 operator:2  from:3 to:4 operator:-1  from:4 to:5 operator:-1  from:5 to:6 operator:2  from:6 to:7 operator:-1  from:7 to:8 operator:-1  from:8 to:9 operator:-1  
3,0.000000136,from:0 to:1 operator:-1  from:1 to:2 operator:-1  from:2 to:3 operator:-1  from:3 to:4 operator:-1  from:3 to:5 operator:2  from:4 to:5 operator:-1  from:5 to:6 operator:-1  from:6 to:7 operator:-1  from:7 to:8 operator:-1  from:8 to:9 operator:-1  
4,0.000000244,from:0 to:1 operator:-1  from:0 to:5 operator:2  from:1 to:2 operator:-1  from:2 to:3 operator:-1  from:3 to:4 operator:-1  from:3 to:5 operator:2  from:4 to:5 operator:-1  from:5 to:6 operator:-1  from:6 to:7 operator:-1  from:7 to:8 operator:-1  from:8 to:9 operator:-1  
5,3.1325E-07,from:0 to:1 operator:-1  from:0 to:5 operator:2  from:1 to:2 operator:-1  from:2 to:3 operator:-1  from:2 to:4 operator:2  from:3 to:4 operator:-1  from:4 to:5 operator:-1  from:5 to:6 operator:2  from:5 to:9 operator:2  from:6 to:7 operator:-1  from:7 to:8 operator:-1  from:8 to:9 operator:-1  
6,0.000000592,from:0 to:1 operator:-1  from:0 to:5 operator:2  from:0 to:7 operator:2  from:1 to:2 operator:-1  from:2 to:3 operator:-1  from:2 to:4 operator:2  from:3 to:4 operator:-1  from:4 to:5 operator:-1  from:5 to:6 operator:2  from:5 to:9 operator:2  from:6 to:7 operator:-1  from:7 to:8 operator:-1  from:8 to:9 operator:-1  
7,0.000000134,from:0 to:1 operator:-1  from:0 to:5 operator:2  from:1 to:2 operator:-1  from:2 to:3 operator:-1  from:2 to:4 operator:2  from:3 to:4 operator:-1  from:3 to:5 operator:2  from:4 to:5 operator:-1  from:5 to:6 operator:2  from:5 to:9 operator:2  from:6 to:7 operator:-1  from:7 to:8 operator:-1  from:8 to:9 operator:-1  
8,0.074008024,from:0 to:1 operator:-1  from:0 to:5 operator:2  from:0 to:9 operator:2  from:1 to:2 operator:-1  from:2 to:3 operator:-1  from:2 to:4 operator:2  from:3 to:4 operator:-1  from:3 to:5 operator:2  from:4 to:5 operator:-1  from:5 to:6 operator:2  from:5 to:9 operator:2  from:6 to:7 operator:-1  from:7 to:8 operator:-1  from:8 to:9 operator:-1  
9,0.000000372,from:0 to:1 operator:-1  from:0 to:5 operator:2  from:1 to:2 operator:-1  from:2 to:3 operator:-1  from:2 to:4 operator:2  from:3 to:4 operator:-1  from:4 to:5 operator:-1  from:4 to:7 operator:2  from:5 to:6 operator:2  from:5 to:9 operator:2  from:6 to:7 operator:-1  from:7 to:8 operator:-1  from:8 to:9 operator:-1  
