No,fitness,backbone
1,0.016981125,from:0 to:1 operator:-1  from:1 to:2 operator:-1  from:2 to:3 operator:5  from:3 to:4 operator:5  from:4 to:5 operator:-1  from:5 to:6 operator:-1  from:5 to:8 operator:5  from:6 to:7 operator:-1  from:7 to:8 operator:-1  from:8 to:9 operator:-1  
2,0.013916016,from:0 to:1 operator:-1  from:1 to:2 operator:-1  from:2 to:3 operator:5  from:2 to:5 operator:5  from:3 to:4 operator:5  from:4 to:5 operator:-1  from:5 to:6 operator:-1  from:5 to:8 operator:5  from:6 to:7 operator:-1  from:7 to:8 operator:-1  from:8 to:9 operator:-1  
3,0.024574578,from:0 to:1 operator:-1  from:1 to:2 operator:-1  from:2 to:3 operator:5  from:2 to:5 operator:5  from:3 to:4 operator:5  from:4 to:5 operator:-1  from:5 to:6 operator:-1  from:5 to:8 operator:5  from:6 to:7 operator:-1  from:7 to:8 operator:-1  from:8 to:9 operator:5  
4,0.023159027,from:0 to:1 operator:-1  from:0 to:8 operator:5  from:1 to:2 operator:5  from:2 to:3 operator:-1  from:3 to:4 operator:-1  from:4 to:5 operator:-1  from:5 to:6 operator:-1  from:6 to:7 operator:-1  from:7 to:8 operator:-1  from:8 to:9 operator:-1  
5,0.014152527,from:0 to:1 operator:-1  from:0 to:8 operator:5  from:1 to:2 operator:5  from:2 to:3 operator:-1  from:2 to:6 operator:5  from:3 to:4 operator:-1  from:4 to:5 operator:-1  from:5 to:6 operator:-1  from:6 to:7 operator:-1  from:7 to:8 operator:-1  from:8 to:9 operator:-1  
6,0.021560669,from:0 to:1 operator:-1  from:1 to:2 operator:-1  from:1 to:8 operator:3  from:2 to:3 operator:-1  from:3 to:4 operator:-1  from:4 to:5 operator:-1  from:5 to:6 operator:-1  from:6 to:7 operator:-1  from:7 to:8 operator:-1  from:8 to:9 operator:-1  
7,0.013202667,from:0 to:1 operator:-1  from:1 to:2 operator:-1  from:1 to:9 operator:3  from:2 to:3 operator:5  from:3 to:4 operator:5  from:4 to:5 operator:-1  from:5 to:6 operator:-1  from:5 to:8 operator:5  from:6 to:7 operator:-1  from:6 to:8 operator:5  from:7 to:8 operator:-1  from:8 to:9 operator:-1  
8,0.026220322,from:0 to:1 operator:-1  from:1 to:2 operator:-1  from:1 to:9 operator:3  from:2 to:3 operator:5  from:3 to:4 operator:5  from:4 to:5 operator:-1  from:5 to:6 operator:-1  from:5 to:8 operator:5  from:6 to:7 operator:-1  from:7 to:8 operator:-1  from:8 to:9 operator:-1  
9,0.010911942,from:0 to:1 operator:-1  from:0 to:8 operator:5  from:1 to:2 operator:5  from:2 to:3 operator:-1  from:2 to:6 operator:5  from:3 to:4 operator:-1  from:4 to:5 operator:-1  from:4 to:8 operator:3  from:5 to:6 operator:-1  from:6 to:7 operator:-1  from:7 to:8 operator:-1  from:8 to:9 operator:-1  
10,0.01556778,from:0 to:1 operator:-1  from:0 to:8 operator:3  from:1 to:2 operator:-1  from:2 to:3 operator:5  from:2 to:5 operator:5  from:3 to:4 operator:5  from:4 to:5 operator:-1  from:5 to:6 operator:-1  from:5 to:8 operator:5  from:6 to:7 operator:-1  from:7 to:8 operator:-1  from:8 to:9 operator:5  
